title,br_id,media_type,distributor,genres,rating,bluray_ratings,media_img,release_date
Feast (2005),1065,dvd,Weinstein Company,Horror; Thriller; Comedy; Action,6.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/1065_medium.jpg?t=1394202583,"Oct 17, 2006"
Feast II: Sloppy Seconds (2008),1829,dvd,Weinstein Company,Horror; Thriller; Comedy; Action,5.1,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/1829_medium.jpg?t=0,"Oct 07, 2008"
Feeding Frenzy (2010),57054,dvd,Red Letter Media,Comedy; Horror,6.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/57054_medium.jpg?t=1370996841,"Oct 11, 2010"
Fight Club (1999),6101,dvd,20th Century Fox,Crime; Thriller; Dark humor; Drama; Action; Mystery; Psychological thriller; Surreal,8.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/6101_medium.jpg?t=0,"Aug 27, 2002"
Fist of Legend (1994),7689,dvd,No title given.,Action; Martial arts; Foreign; Drama,8,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/7689_medium.jpg?t=1342098937,NA
The Five Deadly Venoms (1978),6668,dvd,No title given.,Foreign; Martial arts; Action; Period,7.1,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/6668_medium.jpg?t=1325432943,NA
Five Element Ninjas,7630,dvd,No title given.,Action; Adventure,NA,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/7630_medium.jpg?t=1423952656,NA
Flying Guillotine (1975),90771,dvd,Arc Entertainment,Martial arts; Action,6.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/90771_medium.jpg?t=1405336292,"Nov 29, 2011"
Flying Guillotine II,47375,dvd,No title given.,Action; Martial arts,NA,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/47375_medium.jpg?t=0,NA
Forbidden World (1982),4042,dvd,Shout Factory,Horror; Sci-Fi,6.1,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/4042_medium.jpg?t=1375642683,"Jul 20, 2010"
Forgetting Sarah Marshall (2008),11003,dvd,Universal Studios,Comedy; Romance,7.4,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/11003_medium.jpg?t=1387200525,"Jan 17, 2010"
Frankenstein Conquers the World (1965),3740,dvd,Tokyo Shock,Sci-Fi; Foreign; Horror; Fantasy; Action; Supernatural,6.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/3740_medium.jpg?t=1504071823,"Jun 26, 2007"
G.I. Joe: A Real American Hero - The M.A.S.S. Device (1983),95529,dvd,Shout Factory,Animation; Adventure; Action,7.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/95529_medium.jpg?t=1413534667,"Sep 01, 2009"
G.I. Joe: Resolute (2009),21514,dvd,Paramount Pictures,Animation; Action; Sci-Fi; Adventure; War,6.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/21514_medium.jpg?t=1524665912,"Nov 03, 2009"
G.I. Joe: The Rise of Cobra (2009),8237,dvd,Paramount Pictures,Action; Adventure; Sci-Fi; Thriller,5.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/8237_medium.jpg?t=0,"Nov 03, 2009"
G.I. Joe: The Movie (1987),70029,dvd,Rhino Music,Action; Sci-Fi; Animation; Adventure; Family,7.2,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/70029_medium.jpg?t=1383615136,"Jun 20, 2000"
G3: Live in Denver,21733,dvd,No title given.,Music,NA,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/21733_medium.jpg?t=1319048530,NA
Gall Force: DVD Collection (1986-1989),78817,dvd,U.S. Manga Corps,Anime; Sci-Fi; Action,6.2,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/78817_medium.jpg?t=1511799419,1989
Gamera: Guardian of the Universe (1995),3849,dvd,ADV Films,Sci-Fi; Foreign; Action; Fantasy; Supernatural; Drama,7.3,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/3849_medium.jpg?t=1399671841,"Mar 18, 2003"
Gamera 2: Attack of Legion (1996),86925,dvd,ADV Films,Sci-Fi; Foreign; Horror; Action; Fantasy; Supernatural; Drama,7.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/86925_medium.jpg?t=1399671871,"Apr 29, 2003"
Gamera 3: Revenge of Iris (1999),86924,dvd,ADV Films,Sci-Fi; Foreign; Horror; Action; Fantasy; Supernatural; Drama,7.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/86924_medium.jpg?t=1399671911,"Jun 10, 2003"
Gamera the Brave (2006),3683,dvd,Tokyo Shock,Foreign; Sci-Fi; Fantasy; Action; Supernatural; Adventure; Family,6.8,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/3683_medium.jpg?t=1346816402,"Dec 30, 2008"
Gappa: The Triphibian Monster (1967),38365,dvd,Tokyo Shock,Sci-Fi; Foreign; Fantasy; Action; Supernatural,5.8,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/38365_medium.jpg?t=1579228960,"Dec 09, 2000"
"Ghidorah, the Three-Headed Monster (1964)",3471,dvd,Classic Media,Foreign; Sci-Fi; Fantasy; Adventure; Action,7.2,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/3471_medium.jpg?t=0,"Jun 05, 2007"
Godzilla: Final Wars (2004),3262,dvd,Sony Pictures,Sci-Fi; Foreign; Action; Fantasy; Adventure,6.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/3262_medium.jpg?t=0,"Dec 13, 2005"
Godzilla: Tokyo S.O.S. (2003),3379,dvd,Sony Pictures,Sci-Fi; Foreign; Action; Fantasy,6.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/3379_medium.jpg?t=0,"Dec 14, 2004"
